,balance_account,purchases_amount,paid_advance,full_purchases,balance_frequency_update,installments,purchases_frequency,full_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,nr_cash_advances,nr_purchases,credit_limit,fixed_rate_period,payments,min_payments,full_payment_prc,ClusterID3,ClusterID4,ClusterID5,ClusterID6,ClusterID8
30,41.386295,194.57,0.0,194.57,0.363636,0.0,0.166667,0.166667,0.0,0.0,0,2,2200.0,12,470.431305,169.999931,0.0,0,3,3,3,0
31,888.101401,100.0,896.5789900000002,0.0,1.0,100.0,0.222222,0.0,0.111111,0.111111,2,2,1000.0,9,212.755352,527.241583,0.0,0,3,3,1,3
32,1827.647786,596.64,449.505151,0.0,1.0,596.64,1.0,0.0,1.0,0.083333,4,12,2000.0,12,911.09047,867.5382710000001,0.0,0,0,4,0,4
33,41.461969,550.08,0.0,0.0,0.272727,550.08,0.25,0.0,0.166667,0.0,0,4,6000.0,12,1104.875573,168.561947,1.0,0,3,3,3,0
34,10.386311,171.6,0.0,0.0,0.818182,171.6,1.0,0.0,1.0,0.0,0,12,4000.0,12,168.370514,82.263245,0.454545,0,0,4,0,4
35,1667.8517880000004,0.0,5133.373227,0.0,0.9,0.0,0.0,0.0,0.0,0.6,13,0,3000.0,10,2822.457351,471.885081,0.125,1,1,0,4,2
36,1273.498021,449.28,0.0,0.0,1.0,449.28,1.0,0.0,1.0,0.0,0,12,1200.0,12,475.727103,4224.383226,0.0,0,0,4,0,4
37,5432.113514,793.1,6245.023709,793.1,1.0,0.0,0.583333,0.583333,0.0,0.5,15,13,10000.0,12,1261.909483,1290.536388,0.0,1,1,0,4,2
38,61.463647,0.0,989.053104,0.0,0.166667,0.0,0.0,0.0,0.0,0.166667,2,0,1200.0,6,0.0,,0.0,0,3,3,3,0
39,528.0237030000002,770.05,286.123717,109.4,1.0,660.65,0.916667,0.083333,0.833333,0.083333,5,23,1500.0,12,748.204441,170.319835,0.0,0,0,4,0,4
40,6371.353279999998,0.0,3546.56566,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,11,0,7000.0,12,1914.79158,3654.599824,0.0,1,1,0,4,2
41,710.811464,633.87,672.991175,320.0,0.75,313.87,0.75,0.125,0.625,0.25,4,17,1000.0,8,474.226839,686.170196,0.0,0,3,4,0,4
42,1973.814964,873.0,0.0,873.0,1.0,0.0,0.166667,0.166667,0.0,0.0,0,5,8000.0,12,541.722532,762.682834,0.0,0,3,3,1,3
43,6631.790101,74.17,4618.934859,74.17,1.0,0.0,0.090909,0.090909,0.0,0.454545,10,1,9000.0,11,1652.0296529999996,1516.892745,0.0,1,1,0,4,2
44,1054.905969,885.44,0.0,0.0,1.0,885.44,0.833333,0.0,0.833333,0.0,0,111,1000.0,12,1057.25415,1613.401207,0.0,0,0,4,0,4
45,16.834929000000002,15.0,209.025389,15.0,0.454545,0.0,0.090909,0.090909,0.0,0.090909,1,1,7500.0,11,430.213001,86.959785,0.0,0,3,3,3,0
46,2.559461,116.1,0.0,0.0,0.571429,116.1,0.857143,0.0,0.714286,0.0,0,6,1500.0,7,256.642179,66.28956099999999,0.5,0,0,4,3,4
47,56.726412,268.68,0.0,0.0,1.0,268.68,1.0,0.0,1.0,0.0,0,12,3500.0,12,261.671184,198.263057,0.083333,0,0,4,0,4
48,54.713751,578.6,0.0,0.0,0.909091,578.6,0.833333,0.0,0.75,0.0,0,10,2500.0,12,607.673138,184.597912,0.333333,0,0,4,0,4
49,523.329585,5819.46,0.0,4646.02,1.0,1173.44,1.0,1.0,1.0,0.0,0,114,6000.0,12,5279.91437,194.433112,0.916667,2,2,1,2,6
50,297.985886,116.18,0.0,7.78,1.0,108.4,0.416667,0.083333,0.333333,0.0,0,5,1000.0,12,1178.583629,206.812783,0.083333,0,3,3,1,3
51,937.052256,2003.98,0.0,455.62,1.0,1548.36,1.0,0.166667,1.0,0.0,0,49,1200.0,12,1033.879447,725.200106,0.0,0,0,4,0,4
52,1547.714145,2476.31,0.0,804.4,1.0,1671.91,1.0,0.416667,1.0,0.0,0,82,3500.0,12,4061.48987,333.50034,0.0,2,0,1,2,1
53,499.751638,468.6,0.0,0.0,1.0,468.6,0.833333,0.0,0.75,0.0,0,10,1200.0,12,1092.978851,178.853712,0.083333,0,0,4,0,4
54,358.011796,0.0,1795.200197,0.0,0.545455,0.0,0.0,0.0,0.0,0.083333,1,0,1950.0,12,4702.661168,501.48556500000007,0.25,0,3,3,3,0
55,16.167257,171.9,0.0,0.0,1.0,171.9,1.0,0.0,0.9,0.0,0,10,1500.0,10,145.002943,147.054838,0.875,0,0,4,0,4
56,253.143106,0.0,3351.385591,0.0,0.14285699999999998,0.0,0.0,0.0,0.0,0.14285699999999998,3,0,5000.0,7,0.0,,0.0,0,3,3,3,0
57,1732.7152579999995,3244.16,0.0,2480.85,1.0,763.31,1.0,0.666667,0.5,0.0,0,29,11500.0,12,5674.185857,563.827502,0.0,2,0,1,2,1
58,579.5747200000002,1337.5,1059.31576,0.0,0.909091,1337.5,0.583333,0.0,0.583333,0.166667,6,11,1500.0,12,2772.6155280000007,2970.844918,0.1,0,0,4,0,4
59,795.497557,0.0,5676.779668,0.0,0.909091,0.0,0.0,0.0,0.0,0.5,6,0,50.0,12,7570.207781999998,410.260506,0.444444,1,1,0,4,2
60,444.841702,218.59,0.0,218.59,1.0,0.0,0.083333,0.083333,0.0,0.0,0,4,500.0,12,223.77144500000003,226.769925,0.0,0,3,3,1,3
61,2837.322217000001,35.0,804.52054,35.0,1.0,0.0,0.083333,0.083333,0.0,0.666667,12,1,3000.0,12,618.234466,762.082055,0.0,1,1,0,1,3
62,6378.276044,0.0,4169.593183,0.0,1.0,0.0,0.0,0.0,0.0,0.666667,15,0,10500.0,12,1376.688305,1539.532191,0.0,1,1,0,4,2
63,3508.560867,0.0,2251.744713,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,2,0,9000.0,12,4508.112909,935.839831,0.0,1,3,3,1,3
64,74.755978,553.7,0.0,248.7,1.0,305.0,0.583333,0.333333,0.166667,0.0,0,9,1000.0,12,467.131192,169.84053500000005,0.2,0,3,3,0,3
65,186.054174,2126.81,0.0,1529.8,1.0,597.01,1.0,0.916667,1.0,0.0,0,27,7000.0,12,1998.999896,178.290009,1.0,2,0,1,0,1
66,99.643727,677.68,0.0,655.68,1.0,22.0,1.0,1.0,0.083333,0.0,0,14,3000.0,12,809.678399,148.487769,0.272727,0,0,1,0,1
67,185.640313,1703.23,0.0,1703.23,1.0,0.0,1.0,1.0,0.0,0.0,0,13,11500.0,12,1449.039414,183.298253,1.0,2,0,1,0,1
68,0.0,0.0,147.24185500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,1,0,500.0,11,667.921811,,0.0,0,3,3,3,0
69,666.010085,504.87,271.354588,504.87,1.0,0.0,0.166667,0.166667,0.0,0.083333,1,2,1000.0,12,631.927013,173.032903,0.0,0,3,3,1,3
70,1299.554504,0.0,3955.560549,0.0,1.0,0.0,0.0,0.0,0.0,0.5,11,0,2500.0,8,2084.109173,267.77436800000004,0.166667,1,1,0,1,3
71,1601.692049,61.46,0.0,0.0,1.0,61.46,0.25,0.0,0.25,0.0,0,6,4000.0,12,399.369214,512.7597049999998,0.0,0,3,3,1,3
72,11.188595,159.84,0.0,0.0,0.454545,159.84,0.5,0.0,0.5,0.0,0,6,1000.0,12,110.86073799999998,57.545594,0.0,0,3,3,3,0
73,863.821682,145.81,315.650923,0.0,1.0,145.81,0.583333,0.0,0.5,0.083333,1,7,1000.0,12,520.56678,1598.733913,0.0,0,3,4,1,4
74,60.52124,469.0,0.0,0.0,0.8,469.0,0.6,0.0,0.5,0.0,0,6,1000.0,10,541.3590820000002,115.03052,0.833333,0,0,4,0,4
75,6668.440979,5596.11,2790.317276,2880.91,1.0,2715.2,1.0,0.583333,1.0,0.166667,14,110,16000.0,12,17068.96724,6687.965212,0.083333,2,2,1,2,6
76,599.116168,947.07,508.477816,815.07,1.0,132.0,0.666667,0.583333,0.416667,0.333333,5,17,3000.0,12,1654.58686,208.064056,0.0,0,0,3,0,1
77,1049.603233,0.0,438.384856,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1,0,1500.0,12,221.394099,276.752949,0.0,0,3,3,1,3
78,1156.813935,251.38,506.605228,101.28,1.0,150.1,0.909091,0.181818,0.909091,0.181818,3,12,7500.0,11,2853.276447,367.503207,0.181818,0,0,4,0,4
79,645.181409,0.0,2014.386387,0.0,0.636364,0.0,0.0,0.0,0.0,0.166667,2,0,1400.0,12,2185.891694,436.135143,0.0,0,3,3,1,3
80,1771.028068,360.0,1836.07301,360.0,0.909091,0.0,0.090909,0.090909,0.0,0.454545,5,1,5000.0,11,4681.8691880000015,427.286126,0.1,1,3,3,1,3
81,2769.640442000001,738.06,1273.269924,738.06,1.0,0.0,0.5,0.5,0.0,0.333333,5,8,4500.0,12,740.4530599999998,701.288299,0.0,0,3,3,1,3
82,487.723632,0.0,978.210005,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1,0,1500.0,12,1454.589519,184.288462,0.083333,0,3,3,1,3
83,323.801713,0.0,1430.485333,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,1,0,1500.0,6,0.0,,0.0,0,3,3,3,0
84,18.180646,220.06,0.0,0.0,1.0,220.06,1.0,0.0,1.0,0.0,0,12,1000.0,12,217.276088,140.596138,0.7,0,0,4,0,4
85,3136.079106,555.0,1728.321044,0.0,1.0,555.0,1.0,0.0,0.916667,0.083333,4,12,3500.0,12,1045.1294380000004,780.7801139999998,0.0,0,0,4,0,4
86,284.43378,212.92,0.0,0.0,0.363636,212.92,0.833333,0.0,0.833333,0.0,0,15,1500.0,12,1202.791804,150.107024,0.0,0,0,4,3,0
87,3539.801912,2823.8,0.0,1540.41,1.0,1283.39,0.916667,0.916667,0.833333,0.0,0,75,5700.0,12,9172.788366,2103.796148,0.083333,2,0,1,2,6
88,938.177781,1288.42,0.0,0.0,1.0,1288.42,0.916667,0.0,0.916667,0.0,0,23,1500.0,12,1018.536172,196.720403,0.0,0,0,4,0,4
89,1509.177493,0.0,1281.15107,0.0,1.0,0.0,0.0,0.0,0.0,0.75,14,0,5000.0,12,449.984139,569.555493,0.0,1,1,0,4,2
90,1488.628126,0.0,2909.050462,0.0,1.0,0.0,0.0,0.0,0.0,0.363636,24,0,3000.0,11,1968.413322,439.164743,0.090909,1,1,0,4,2
91,844.230511,615.0,0.0,336.0,1.0,279.0,0.666667,0.25,0.416667,0.0,0,9,1500.0,12,1028.163341,183.039309,0.0,0,0,4,0,4
92,1628.609633,1340.83,0.0,695.04,1.0,645.79,0.666667,0.416667,0.5,0.0,0,28,2000.0,12,586.263693,1190.488094,0.0,0,0,4,0,4
93,1832.521787,0.0,131.233151,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,3,0,2000.0,12,495.043669,1041.361298,0.0,0,3,3,1,3
94,2270.950105,1403.42,0.0,77.0,1.0,1326.42,0.916667,0.083333,0.916667,0.0,0,12,8500.0,12,830.130725,582.4890740000002,0.0,0,0,4,0,4
95,1923.696463,527.6,5326.343132,0.0,0.727273,527.6,0.25,0.0,0.25,0.416667,48,25,5000.0,12,2999.461289,1008.776986,0.0,1,1,0,4,2
96,15.978538,136.92,0.0,0.0,1.0,136.92,1.0,0.0,1.0,0.0,0,12,2500.0,12,132.182438,130.9779,0.181818,0,0,4,0,4
97,7506.9085989999985,465.36,1609.506076,465.36,1.0,0.0,0.25,0.25,0.0,0.083333,3,4,12000.0,12,1772.157134,2302.03915,0.0,1,1,0,4,2
98,2284.316297,239.26,2794.719183,0.0,1.0,239.26,0.75,0.0,0.75,0.25,3,9,3000.0,12,1918.74596,504.077272,0.0,0,0,4,0,4
99,2746.923673,0.0,4289.506847,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,11,0,6500.0,12,2017.190799,622.5035280000002,0.0,1,1,0,4,2
100,8504.876253,6724.26,1686.599777,4100.08,1.0,2624.18,1.0,0.916667,1.0,0.5,10,85,17000.0,12,1888.756861,2167.446204,0.0,2,2,1,2,6
101,508.598624,0.0,950.084436,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1,0,11500.0,12,974.764661,217.361776,0.0,0,3,3,1,3
102,3.574463,576.0,0.0,0.0,0.818182,576.0,1.0,0.0,1.0,0.0,0,12,1000.0,12,498.788091,,0.0,0,0,4,0,4
103,2269.800656,0.0,3359.844146,0.0,0.714286,0.0,0.0,0.0,0.0,0.14285699999999998,3,0,3500.0,7,403.640958,967.007841,0.0,0,3,3,1,3
104,1382.240511,113.03,3688.794183,0.0,1.0,113.03,0.583333,0.0,0.5,0.833333,31,12,3000.0,12,2780.931453,463.144483,0.0,1,1,0,4,2
105,3265.116481,2147.01,0.0,0.0,0.727273,2147.01,1.0,0.0,1.0,0.0,0,60,8000.0,12,8481.013758,2978.655593,0.0,2,0,1,2,6
106,802.086509,2008.98,0.0,1990.65,0.818182,18.33,0.583333,0.583333,0.083333,0.0,0,28,4500.0,12,468.46361500000006,302.127133,0.0,0,0,1,0,1
107,0.0,147.0,0.0,0.0,0.0,147.0,1.0,0.0,1.0,0.0,0,12,2500.0,12,152.10913200000005,,0.0,0,0,4,3,0
108,1329.826951,1304.96,18.427395,1304.96,1.0,0.0,0.25,0.25,0.0,0.083333,1,7,7500.0,12,625.414678,402.131301,0.0,0,3,3,1,3
109,738.956988,0.0,1561.133958,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,6,0,1500.0,12,1979.193103,198.854631,0.1,0,3,3,1,3
110,3494.152843,2217.87,2452.383654,578.06,1.0,1639.81,1.0,0.25,0.916667,0.25,10,59,6500.0,12,2125.932737,1672.557449,0.0,2,0,1,2,4
111,1036.2423609999996,365.9,0.0,0.0,1.0,365.9,0.75,0.0,0.75,0.0,0,9,1000.0,12,695.253351,829.465424,0.0,0,0,4,0,4
112,3143.23132,255.08,0.0,129.52,1.0,125.56,0.416667,0.166667,0.333333,0.0,0,11,5500.0,12,734.825068,841.5251880000002,0.0,0,3,3,1,3
113,460.56625,864.61,0.0,864.61,1.0,0.0,0.833333,0.833333,0.0,0.0,0,11,3000.0,12,1880.266926,362.449997,0.25,0,0,1,0,1
114,1321.645967,0.0,91.920629,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1,0,1500.0,12,317.384166,543.171342,0.0,0,3,3,1,3
115,97.917955,824.31,0.0,0.0,1.0,824.31,0.916667,0.0,0.916667,0.0,0,27,7500.0,12,702.365795,163.523497,1.0,0,0,4,0,4
116,1014.926473,861.49,0.0,661.49,1.0,200.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,12,688.278568,311.963409,0.0,0,3,3,1,3
117,6224.464489,4439.11,0.0,3884.1,1.0,555.01,0.833333,0.5,0.75,0.0,0,59,6500.0,12,2546.344149,4299.471274,0.0,2,0,1,2,6
118,4417.192123,1149.52,1944.558434,1149.52,1.0,0.0,0.583333,0.583333,0.0,0.416667,9,13,5000.0,12,1250.398004,1373.34962,0.0,1,1,0,4,2
119,801.513783,1697.02,0.0,1217.02,1.0,480.0,1.0,1.0,1.0,0.0,0,40,5500.0,12,959.353093,296.563549,0.0,2,0,1,0,1
120,2408.162021,0.0,615.181965,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,5,0,2500.0,12,516.675665,810.048137,0.0,0,3,3,1,3
121,1879.694262,832.67,0.0,694.73,1.0,137.94,0.583333,0.25,0.333333,0.0,0,22,2000.0,12,873.931715,1452.265916,0.0,0,0,4,0,3
122,22.061664,208.8,0.0,0.0,1.0,208.8,1.0,0.0,1.0,0.0,0,12,1000.0,12,205.111057,172.112042,0.25,0,0,4,0,4
123,1121.730896,878.52,197.648111,103.1,1.0,775.42,1.0,0.166667,0.916667,0.083333,1,39,1500.0,12,542.836917,471.496776,0.0,0,0,4,0,4
124,2929.747983,376.04,0.0,222.0,1.0,154.04,0.5,0.083333,0.5,0.0,0,8,3000.0,12,1037.958748,1405.916655,0.0,0,3,4,1,3
125,13777.37772,0.0,1675.249576,0.0,1.0,0.0,0.0,0.0,0.0,0.666667,11,0,14500.0,12,3054.844697,3242.471295,0.0,1,1,0,4,2
126,43.775427,523.64,0.0,523.64,1.0,0.0,1.0,1.0,0.0,0.0,0,15,6500.0,12,492.097703,172.889643,0.75,0,0,1,0,1
127,1236.018537,0.0,2132.985725,0.0,0.909091,0.0,0.0,0.0,0.0,0.25,3,0,3000.0,12,540.703321,359.715011,0.0,0,3,3,1,3
128,3347.700395,5967.42,0.0,5016.08,1.0,951.34,1.0,1.0,1.0,0.0,0,73,11500.0,12,3012.483841,811.061687,0.0,2,2,1,2,6
129,50.571196,499.98,0.0,0.0,0.545455,499.98,0.5,0.0,0.416667,0.0,0,6,2500.0,12,744.2604610000002,235.440351,0.2,0,3,3,3,0
130,0.0,990.0,0.0,0.0,0.0,990.0,0.818182,0.0,0.818182,0.0,0,9,1500.0,11,0.0,,0.0,0,3,4,3,0
131,1682.8927260000007,2996.92,0.0,2282.59,1.0,714.33,1.0,0.916667,0.75,0.0,0,95,5000.0,12,1222.419114,705.86365,0.0,2,0,1,2,1
132,881.3589880000002,4681.26,0.0,2301.64,1.0,2379.62,1.0,0.583333,1.0,0.0,0,53,7000.0,12,4675.820552,249.00939,0.0,2,0,1,2,6
133,22.728166,262.5,0.0,0.0,0.818182,262.5,0.75,0.0,0.666667,0.0,0,14,3500.0,12,301.677275,164.479393,1.0,0,0,4,0,4
134,1237.423459,650.0,0.0,650.0,1.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,12,419.18249,456.684218,0.0,0,3,3,1,3
135,651.394216,2529.64,0.0,1014.32,1.0,1515.32,1.0,0.916667,1.0,0.0,0,83,7500.0,12,2334.314811,200.435964,0.0,2,0,1,2,1
136,1269.019947,445.46,0.0,0.0,0.818182,445.46,1.0,0.0,1.0,0.0,0,13,2600.0,12,2875.999728,489.750966,0.0,0,0,4,0,4
137,0.0,609.0,0.0,0.0,0.0,609.0,1.0,0.0,1.0,0.0,0,12,2500.0,12,893.429001,,0.0,0,0,4,3,0
138,1916.470203,380.0,0.0,0.0,1.0,380.0,0.5,0.0,0.416667,0.0,0,6,8500.0,12,577.247923,439.337182,0.0,0,3,3,1,3
139,1608.451822,0.0,205.737165,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2,0,1800.0,12,470.565984,408.799147,0.0,0,3,3,1,3
140,1425.003265,562.42,1814.910939,0.0,1.0,562.42,0.75,0.0,0.666667,0.416667,7,19,1800.0,12,985.544048,883.852995,0.0,0,0,4,0,4
141,2948.966018,4129.97,451.6221900000001,1804.1,1.0,2325.87,1.0,0.75,1.0,0.25,4,56,5000.0,12,2557.014611,605.697272,0.0,2,0,1,2,6
142,6443.077147,2155.13,1650.039631,1325.34,0.909091,829.79,1.0,0.583333,1.0,0.416667,17,75,7500.0,12,9689.602075,3163.402977,0.0,2,1,1,2,6
143,117.205812,215.0,0.0,215.0,0.818182,0.0,0.083333,0.083333,0.0,0.0,0,1,1750.0,12,86.403222,182.994424,0.0,0,3,3,1,3
144,1300.593766,0.0,513.664928,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,3,0,3000.0,12,386.660071,396.635432,0.0,0,3,3,1,3
145,1.600479,513.24,0.0,0.0,0.181818,513.24,1.0,0.0,1.0,0.0,0,12,2500.0,12,363.735397,,0.0,0,0,4,3,0
146,465.003141,500.0,0.0,500.0,1.0,0.0,0.111111,0.111111,0.0,0.0,0,1,1000.0,9,109.818409,357.651724,0.0,0,3,3,1,3
147,12.169653,187.32,0.0,0.0,1.0,187.32,1.0,0.0,1.0,0.0,0,12,2000.0,12,182.885361,162.175616,1.0,0,0,4,0,4
148,6629.045062,0.0,12178.96258,0.0,1.0,0.0,0.0,0.0,0.0,0.833333,31,0,8000.0,12,10117.7115,2189.436372,0.0,1,1,0,4,2
149,16.371699,190.0,0.0,0.0,0.3,190.0,0.2,0.0,0.2,0.0,0,3,4000.0,10,322.1144680000001,139.674841,0.5,0,3,3,3,0
150,3270.441222,848.0,0.0,848.0,1.0,0.0,0.166667,0.166667,0.0,0.0,0,3,4500.0,12,1143.616386,1134.793009,0.0,0,3,3,1,3
151,403.816601,3431.0,0.0,0.0,0.9,3431.0,0.9,0.0,0.8,0.0,0,15,10000.0,10,2370.440541,139.047088,0.7,2,0,4,0,4
152,17.097058999999998,306.25,0.0,0.0,0.333333,306.25,0.777778,0.0,0.666667,0.0,0,7,1500.0,9,711.607214,41.249133,0.25,0,3,4,3,0
153,9.052765,172.0,0.0,172.0,0.272727,0.0,0.166667,0.166667,0.0,0.0,0,2,6000.0,12,179.64419099999995,118.316999,0.0,0,3,3,3,0
154,4761.19131,4085.81,4023.466646,3157.31,0.833333,928.5,0.833333,0.5,0.5,0.333333,11,31,7500.0,6,1266.516033,1834.821306,0.0,1,1,0,4,2
155,1968.876429,0.0,1803.8710260000007,0.0,1.0,0.0,0.0,0.0,0.0,0.416667,7,0,10500.0,12,596.4257230000002,577.185775,0.0,1,1,0,1,3
156,6032.740390999998,7553.48,0.0,2643.53,1.0,4909.95,0.916667,0.75,1.0,0.0,0,85,13500.0,12,5377.338091,1365.123434,0.0,2,2,1,2,6
157,4427.994044,1039.49,621.991582,876.49,1.0,163.0,1.0,0.666667,0.833333,0.416667,7,29,11500.0,12,1110.44826,1028.109548,0.0,2,0,1,0,1
158,492.265287,424.5,0.0,0.0,1.0,424.5,0.25,0.0,0.25,0.0,0,3,4000.0,12,142.12384699999996,292.596739,0.0,0,3,3,1,3
159,997.496745,1629.83,276.760257,1629.83,1.0,0.0,0.583333,0.583333,0.0,0.25,5,21,1200.0,12,890.6117539999998,590.889201,0.0,0,3,3,1,3
160,3605.714046,1779.0,0.0,1779.0,1.0,0.0,0.166667,0.166667,0.0,0.0,0,2,5000.0,12,856.0582800000002,761.012234,0.0,0,3,3,1,3
161,2948.447663,0.0,1539.285222,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,13,0,3000.0,12,207.448103,13350.55682,0.0,1,1,0,1,3
162,566.546048,405.75,1044.651618,313.75,0.909091,92.0,0.5,0.166667,0.416667,0.333333,6,12,2000.0,12,1249.835142,313.052687,0.0,0,3,3,1,3
163,542.8074849999998,220.62,0.0,220.62,1.0,0.0,0.166667,0.166667,0.0,0.0,0,3,2000.0,12,608.782428,166.733071,0.0,0,3,3,1,3
164,705.645246,1325.21,0.0,1017.21,1.0,308.0,0.75,0.583333,0.416667,0.0,0,14,3000.0,12,860.2654460000001,227.004657,0.0,0,0,4,0,1
