,customer_id,balance_account,purchases_amount,paid_advance,full_purchases,balance_frequency_update,installments,purchases_frequency,full_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,nr_cash_advances,nr_purchases,credit_limit,fixed_rate_period,payments,min_payments,full_payment_prc
39,5jF0E4RFjrWMlKXv,528.0237030000002,770.05,286.123717,109.4,1.0,660.65,0.916667,0.083333,0.833333,0.083333,5.0,23.0,1500.0,12.0,748.204441,170.319835,0.0
40,zh3SNukCCIdRH2ru,6371.353279999998,0.0,3546.56566,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,11.0,0.0,7000.0,12.0,1914.79158,3654.599824,0.0
41,fwPqcODw6HfATHDo,710.811464,633.87,672.991175,320.0,0.75,313.87,0.75,0.125,0.625,0.25,4.0,17.0,1000.0,8.0,474.226839,686.170196,0.0
42,z4afW7n48RjVVCH9,1973.814964,873.0,0.0,873.0,1.0,0.0,0.166667,0.166667,0.0,0.0,0.0,5.0,8000.0,12.0,541.722532,762.682834,0.0
43,VoIkKCpBSoXH1diF,6631.790101,74.17,4618.934859,74.17,1.0,0.0,0.090909,0.090909,0.0,0.454545,10.0,1.0,9000.0,11.0,1652.0296529999996,1516.892745,0.0
44,v5IG1rmfecUWl16W,1054.905969,885.44,0.0,0.0,1.0,885.44,0.833333,0.0,0.833333,0.0,0.0,111.0,1000.0,12.0,1057.25415,1613.401207,0.0
45,PENCP7ypd3g26naj,16.834929000000002,15.0,209.025389,15.0,0.454545,0.0,0.090909,0.090909,0.0,0.090909,1.0,1.0,7500.0,11.0,430.213001,86.959785,0.0
46,Xxmy2jDMBpv9vaNe,2.559461,116.1,0.0,0.0,0.571429,116.1,0.857143,0.0,0.714286,0.0,0.0,6.0,1500.0,7.0,256.642179,66.28956099999999,0.5
47,g4DxfH0ymgJ7ZLYv,56.726412,268.68,0.0,0.0,1.0,268.68,1.0,0.0,1.0,0.0,0.0,12.0,3500.0,12.0,261.671184,198.263057,0.083333
48,UOBe1DyILFkf7js9,54.713751,578.6,0.0,0.0,0.909091,578.6,0.833333,0.0,0.75,0.0,0.0,10.0,2500.0,12.0,607.673138,184.597912,0.333333
49,hrefAEzy4iLXy9x6,523.329585,5819.46,0.0,4646.02,1.0,1173.44,1.0,1.0,1.0,0.0,0.0,114.0,6000.0,12.0,5279.91437,194.433112,0.916667
50,m6bBag7Z9Z954bE8,297.985886,116.18,0.0,7.78,1.0,108.4,0.416667,0.083333,0.333333,0.0,0.0,5.0,1000.0,12.0,1178.583629,206.812783,0.083333
51,0Dw856ZrzqnYPvGQ,937.052256,2003.98,0.0,455.62,1.0,1548.36,1.0,0.166667,1.0,0.0,0.0,49.0,1200.0,12.0,1033.879447,725.200106,0.0
52,yJTygiYJQRblVyHW,1547.714145,2476.31,0.0,804.4,1.0,1671.91,1.0,0.416667,1.0,0.0,0.0,82.0,3500.0,12.0,4061.48987,333.50034,0.0
53,bcnEF3dc4xiYt3mw,499.751638,468.6,0.0,0.0,1.0,468.6,0.833333,0.0,0.75,0.0,0.0,10.0,1200.0,12.0,1092.978851,178.853712,0.083333
54,gsLqjICvDuVVJzYq,358.011796,0.0,1795.200197,0.0,0.545455,0.0,0.0,0.0,0.0,0.083333,1.0,0.0,1950.0,12.0,4702.661168,501.48556500000007,0.25
55,ycxaDPrILCrWeifw,16.167257,171.9,0.0,0.0,1.0,171.9,1.0,0.0,0.9,0.0,0.0,10.0,1500.0,10.0,145.002943,147.054838,0.875
56,ho8zNMNjqV2lBy0t,253.143106,0.0,3351.385591,0.0,0.14285699999999998,0.0,0.0,0.0,0.0,0.14285699999999998,3.0,0.0,5000.0,7.0,0.0,636.277338924906,0.0
57,is2y1tY4AbYeMbD6,1732.7152579999995,3244.16,0.0,2480.85,1.0,763.31,1.0,0.666667,0.5,0.0,0.0,29.0,11500.0,12.0,5674.185857,563.827502,0.0
58,uVFku4wGqhV7BJ4w,579.5747200000002,1337.5,1059.31576,0.0,0.909091,1337.5,0.583333,0.0,0.583333,0.166667,6.0,11.0,1500.0,12.0,2772.6155280000007,2970.844918,0.1
59,DzZ8GrE40R547cQH,795.497557,0.0,5676.779668,0.0,0.909091,0.0,0.0,0.0,0.0,0.5,6.0,0.0,50.0,12.0,7570.207781999998,410.260506,0.444444
60,ghJDYYLg0aqzas9G,444.841702,218.59,0.0,218.59,1.0,0.0,0.083333,0.083333,0.0,0.0,0.0,4.0,500.0,12.0,223.77144500000003,226.769925,0.0
61,RzjKKcBCkeicReZ8,2837.322217000001,35.0,804.52054,35.0,1.0,0.0,0.083333,0.083333,0.0,0.666667,12.0,1.0,3000.0,12.0,618.234466,762.082055,0.0
62,omAerHQvK99eW9WO,6378.276044,0.0,4169.593183,0.0,1.0,0.0,0.0,0.0,0.0,0.666667,15.0,0.0,10500.0,12.0,1376.688305,1539.532191,0.0
63,hWTsNxhdzhQgct5d,3508.560867,0.0,2251.744713,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,2.0,0.0,9000.0,12.0,4508.112909,935.839831,0.0
64,NcR2Q1ycgJNaZ3Bs,74.755978,553.7,0.0,248.7,1.0,305.0,0.583333,0.333333,0.166667,0.0,0.0,9.0,1000.0,12.0,467.131192,169.84053500000005,0.2
65,33dWuxOLxvQqhWFw,186.054174,2126.81,0.0,1529.8,1.0,597.01,1.0,0.916667,1.0,0.0,0.0,27.0,7000.0,12.0,1998.999896,178.290009,1.0
66,Za4Zxd1Nh2t7wgBG,99.643727,677.68,0.0,655.68,1.0,22.0,1.0,1.0,0.083333,0.0,0.0,14.0,3000.0,12.0,809.678399,148.487769,0.272727
67,TbSvFujKXSNx449b,185.640313,1703.23,0.0,1703.23,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,11500.0,12.0,1449.039414,183.298253,1.0
68,zZ6IZlH0ay9ywpg9,0.0,0.0,147.24185500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.090909,1.0,0.0,500.0,11.0,667.921811,247.16553366525707,0.0
69,KVRLNfUPmPmGLHxm,666.010085,504.87,271.354588,504.87,1.0,0.0,0.166667,0.166667,0.0,0.083333,1.0,2.0,1000.0,12.0,631.927013,173.032903,0.0
70,NzpC7Q3LYev8zPrG,1299.554504,0.0,3955.560549,0.0,1.0,0.0,0.0,0.0,0.0,0.5,11.0,0.0,2500.0,8.0,2084.109173,267.77436800000004,0.166667
71,ISI7qspGhzpzYW7A,1601.692049,61.46,0.0,0.0,1.0,61.46,0.25,0.0,0.25,0.0,0.0,6.0,4000.0,12.0,399.369214,512.7597049999998,0.0
72,vlR3dJ9P3pYs2sl6,11.188595,159.84,0.0,0.0,0.454545,159.84,0.5,0.0,0.5,0.0,0.0,6.0,1000.0,12.0,110.86073799999998,57.545594,0.0
73,LnNegj2bbRcUMsCs,863.821682,145.81,315.650923,0.0,1.0,145.81,0.583333,0.0,0.5,0.083333,1.0,7.0,1000.0,12.0,520.56678,1598.733913,0.0
74,sJI45aH4dUuyJ2wU,60.52124,469.0,0.0,0.0,0.8,469.0,0.6,0.0,0.5,0.0,0.0,6.0,1000.0,10.0,541.3590820000002,115.03052,0.833333
75,EL5cwhcmBtjP2pco,6668.440979,5596.11,2790.317276,2880.91,1.0,2715.2,1.0,0.583333,1.0,0.166667,14.0,110.0,16000.0,12.0,17068.96724,6687.965212,0.083333
76,SbwAmuxTGNUdRu8F,599.116168,947.07,508.477816,815.07,1.0,132.0,0.666667,0.583333,0.416667,0.333333,5.0,17.0,3000.0,12.0,1654.58686,208.064056,0.0
77,SGyIIkdPhEjDjCCV,1049.603233,0.0,438.384856,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,12.0,221.394099,276.752949,0.0
78,jWdd1Y2oMl1r32eG,1156.813935,251.38,506.605228,101.28,1.0,150.1,0.909091,0.181818,0.909091,0.181818,3.0,12.0,7500.0,11.0,2853.276447,367.503207,0.181818
79,d75vSjyLohPxCqHf,645.181409,0.0,2014.386387,0.0,0.636364,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,1400.0,12.0,2185.891694,436.135143,0.0
80,ZjeOKqUsYjx90w7A,1771.028068,360.0,1836.07301,360.0,0.909091,0.0,0.090909,0.090909,0.0,0.454545,5.0,1.0,5000.0,11.0,4681.8691880000015,427.286126,0.1
81,9WWtbQHZqdUBBBJy,2769.640442000001,738.06,1273.269924,738.06,1.0,0.0,0.5,0.5,0.0,0.333333,5.0,8.0,4500.0,12.0,740.4530599999998,701.288299,0.0
82,vaiydX76ot8o2J4q,487.723632,0.0,978.210005,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,12.0,1454.589519,184.288462,0.083333
83,vh3hYE1D2G1cEp4J,323.801713,0.0,1430.485333,0.0,0.333333,0.0,0.0,0.0,0.0,0.166667,1.0,0.0,1500.0,6.0,0.0,196.0475217599046,0.0
84,SOPilvxsw5R9Hnqf,18.180646,220.06,0.0,0.0,1.0,220.06,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,12.0,217.276088,140.596138,0.7
85,3srJNz6983GpFAww,3136.079106,555.0,1728.321044,0.0,1.0,555.0,1.0,0.0,0.916667,0.083333,4.0,12.0,3500.0,12.0,1045.1294380000004,780.7801139999998,0.0
86,XhjslmzYy3A7dYJr,284.43378,212.92,0.0,0.0,0.363636,212.92,0.833333,0.0,0.833333,0.0,0.0,15.0,1500.0,12.0,1202.791804,150.107024,0.0
87,BqL0GDfBdZOmseds,3539.801912,2823.8,0.0,1540.41,1.0,1283.39,0.916667,0.916667,0.833333,0.0,0.0,75.0,5700.0,12.0,9172.788366,2103.796148,0.083333
88,9ZZqq8UbUI2AFKQK,938.177781,1288.42,0.0,0.0,1.0,1288.42,0.916667,0.0,0.916667,0.0,0.0,23.0,1500.0,12.0,1018.536172,196.720403,0.0
89,kfvH3LBPlGWocPJ5,1509.177493,0.0,1281.15107,0.0,1.0,0.0,0.0,0.0,0.0,0.75,14.0,0.0,5000.0,12.0,449.984139,569.555493,0.0
90,C8YOvKn0hWVWLfky,1488.628126,0.0,2909.050462,0.0,1.0,0.0,0.0,0.0,0.0,0.363636,24.0,0.0,3000.0,11.0,1968.413322,439.164743,0.090909
91,fNJOm8UPU3RR6AF1,844.230511,615.0,0.0,336.0,1.0,279.0,0.666667,0.25,0.416667,0.0,0.0,9.0,1500.0,12.0,1028.163341,183.039309,0.0
92,rEy4FQPDQ1VNfOxG,1628.609633,1340.83,0.0,695.04,1.0,645.79,0.666667,0.416667,0.5,0.0,0.0,28.0,2000.0,12.0,586.263693,1190.488094,0.0
93,VSlhjPdXw6U1hKxD,1832.521787,0.0,131.233151,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,3.0,0.0,2000.0,12.0,495.043669,1041.361298,0.0
94,hYhNsVqIJbVa7LuG,2270.950105,1403.42,0.0,77.0,1.0,1326.42,0.916667,0.083333,0.916667,0.0,0.0,12.0,8500.0,12.0,830.130725,582.4890740000002,0.0
95,KM6hbpcf43hicTKm,1923.696463,527.6,5326.343132,0.0,0.727273,527.6,0.25,0.0,0.25,0.416667,48.0,25.0,5000.0,12.0,2999.461289,1008.776986,0.0
96,qEIH2dRNZHlrCDe6,15.978538,136.92,0.0,0.0,1.0,136.92,1.0,0.0,1.0,0.0,0.0,12.0,2500.0,12.0,132.182438,130.9779,0.181818
97,7ZUkYaxNVgcqlrLM,7506.9085989999985,465.36,1609.506076,465.36,1.0,0.0,0.25,0.25,0.0,0.083333,3.0,4.0,12000.0,12.0,1772.157134,2302.03915,0.0
98,bNEKEYPu2LQ8buDI,2284.316297,239.26,2794.719183,0.0,1.0,239.26,0.75,0.0,0.75,0.25,3.0,9.0,3000.0,12.0,1918.74596,504.077272,0.0
99,lhD55xAYCNXVypuN,2746.923673,0.0,4289.506847,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,11.0,0.0,6500.0,12.0,2017.190799,622.5035280000002,0.0
100,HbbEHkItV6na2Xp7,8504.876253,6724.26,1686.599777,4100.08,1.0,2624.18,1.0,0.916667,1.0,0.5,10.0,85.0,17000.0,12.0,1888.756861,2167.446204,0.0
101,VfegEzkKaim8bvLF,508.598624,0.0,950.084436,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1.0,0.0,11500.0,12.0,974.764661,217.361776,0.0
102,j7SKYdhyuESZxyXu,3.574463,576.0,0.0,0.0,0.818182,576.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,12.0,498.788091,115.93929558379135,0.0
103,ZkMlTfW4ImvM5YUa,2269.800656,0.0,3359.844146,0.0,0.714286,0.0,0.0,0.0,0.0,0.14285699999999998,3.0,0.0,3500.0,7.0,403.640958,967.007841,0.0
104,pNbG2sTJ8nNS3dYu,1382.240511,113.03,3688.794183,0.0,1.0,113.03,0.583333,0.0,0.5,0.833333,31.0,12.0,3000.0,12.0,2780.931453,463.144483,0.0
105,jYX0sncD6dZptCqO,3265.116481,2147.01,0.0,0.0,0.727273,2147.01,1.0,0.0,1.0,0.0,0.0,60.0,8000.0,12.0,8481.013758,2978.655593,0.0
106,MWK9O8lv5NS4ga3f,802.086509,2008.98,0.0,1990.65,0.818182,18.33,0.583333,0.583333,0.083333,0.0,0.0,28.0,4500.0,12.0,468.46361500000006,302.127133,0.0
107,7WdEyp0VDyVj46Np,0.0,147.0,0.0,0.0,0.0,147.0,1.0,0.0,1.0,0.0,0.0,12.0,2500.0,12.0,152.10913200000005,98.28567253955555,0.0
108,QyZsX6QUBm8jT2Qs,1329.826951,1304.96,18.427395,1304.96,1.0,0.0,0.25,0.25,0.0,0.083333,1.0,7.0,7500.0,12.0,625.414678,402.131301,0.0
109,WPHTjpKuxtZUE8dB,738.956988,0.0,1561.133958,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,6.0,0.0,1500.0,12.0,1979.193103,198.854631,0.1
110,Jc8KpJkXWkzbuB4r,3494.152843,2217.87,2452.383654,578.06,1.0,1639.81,1.0,0.25,0.916667,0.25,10.0,59.0,6500.0,12.0,2125.932737,1672.557449,0.0
111,OvhmJIYWbybirQMl,1036.2423609999996,365.9,0.0,0.0,1.0,365.9,0.75,0.0,0.75,0.0,0.0,9.0,1000.0,12.0,695.253351,829.465424,0.0
112,ro8YTyFQFOFZNHHQ,3143.23132,255.08,0.0,129.52,1.0,125.56,0.416667,0.166667,0.333333,0.0,0.0,11.0,5500.0,12.0,734.825068,841.5251880000002,0.0
113,tJ8p0PHN5LGixz0h,460.56625,864.61,0.0,864.61,1.0,0.0,0.833333,0.833333,0.0,0.0,0.0,11.0,3000.0,12.0,1880.266926,362.449997,0.25
114,nM00Nzcr9bsybdtT,1321.645967,0.0,91.920629,0.0,1.0,0.0,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,12.0,317.384166,543.171342,0.0
115,MEjCVeoBou2cakCt,97.917955,824.31,0.0,0.0,1.0,824.31,0.916667,0.0,0.916667,0.0,0.0,27.0,7500.0,12.0,702.365795,163.523497,1.0
116,AFGHSzCHrUqZOT0a,1014.926473,861.49,0.0,661.49,1.0,200.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,12.0,688.278568,311.963409,0.0
117,r0YhBaVQPLByc6X4,6224.464489,4439.11,0.0,3884.1,1.0,555.01,0.833333,0.5,0.75,0.0,0.0,59.0,6500.0,12.0,2546.344149,4299.471274,0.0
118,iiW95Gs3kNAceftZ,4417.192123,1149.52,1944.558434,1149.52,1.0,0.0,0.583333,0.583333,0.0,0.416667,9.0,13.0,5000.0,12.0,1250.398004,1373.34962,0.0
119,6nhi0bdMVxueJMX9,801.513783,1697.02,0.0,1217.02,1.0,480.0,1.0,1.0,1.0,0.0,0.0,40.0,5500.0,12.0,959.353093,296.563549,0.0
120,hhCP4n1Sc0UZLvsP,2408.162021,0.0,615.181965,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,5.0,0.0,2500.0,12.0,516.675665,810.048137,0.0
121,GsVBz8LlRm5ClNLi,1879.694262,832.67,0.0,694.73,1.0,137.94,0.583333,0.25,0.333333,0.0,0.0,22.0,2000.0,12.0,873.931715,1452.265916,0.0
122,PERSlNjmOgMnlRva,22.061664,208.8,0.0,0.0,1.0,208.8,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,12.0,205.111057,172.112042,0.25
123,iGRGfxGP3yklSBtT,1121.730896,878.52,197.648111,103.1,1.0,775.42,1.0,0.166667,0.916667,0.083333,1.0,39.0,1500.0,12.0,542.836917,471.496776,0.0
124,sa943q2FFDQe5eOA,2929.747983,376.04,0.0,222.0,1.0,154.04,0.5,0.083333,0.5,0.0,0.0,8.0,3000.0,12.0,1037.958748,1405.916655,0.0
125,1AOOAkw8m4UBN9G1,13777.37772,0.0,1675.249576,0.0,1.0,0.0,0.0,0.0,0.0,0.666667,11.0,0.0,14500.0,12.0,3054.844697,3242.471295,0.0
126,KKwMEM8hNcjkhWkS,43.775427,523.64,0.0,523.64,1.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,6500.0,12.0,492.097703,172.889643,0.75
127,hNHsjs8d4zjMvv0P,1236.018537,0.0,2132.985725,0.0,0.909091,0.0,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,12.0,540.703321,359.715011,0.0
128,I0WbEeCKkoN7n2kD,3347.700395,5967.42,0.0,5016.08,1.0,951.34,1.0,1.0,1.0,0.0,0.0,73.0,11500.0,12.0,3012.483841,811.061687,0.0
129,So5zQOJieqQViUm9,50.571196,499.98,0.0,0.0,0.545455,499.98,0.5,0.0,0.416667,0.0,0.0,6.0,2500.0,12.0,744.2604610000002,235.440351,0.2
130,rB4Rxm7SLKI4mfJE,0.0,990.0,0.0,0.0,0.0,990.0,0.818182,0.0,0.818182,0.0,0.0,9.0,1500.0,11.0,0.0,181.4333314459683,0.0
131,XzDkvtaixTTkhIEx,1682.8927260000007,2996.92,0.0,2282.59,1.0,714.33,1.0,0.916667,0.75,0.0,0.0,95.0,5000.0,12.0,1222.419114,705.86365,0.0
132,fGHShADV3UfLyYQn,881.3589880000002,4681.26,0.0,2301.64,1.0,2379.62,1.0,0.583333,1.0,0.0,0.0,53.0,7000.0,12.0,4675.820552,249.00939,0.0
133,9ZxWBQJLyVsjTMcH,22.728166,262.5,0.0,0.0,0.818182,262.5,0.75,0.0,0.666667,0.0,0.0,14.0,3500.0,12.0,301.677275,164.479393,1.0
134,9HT9Q9YuCzSDyEEY,1237.423459,650.0,0.0,650.0,1.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1500.0,12.0,419.18249,456.684218,0.0
135,wuXJvw2ENRsrYlw5,651.394216,2529.64,0.0,1014.32,1.0,1515.32,1.0,0.916667,1.0,0.0,0.0,83.0,7500.0,12.0,2334.314811,200.435964,0.0
136,iTvbRC1yNgE5TuuO,1269.019947,445.46,0.0,0.0,0.818182,445.46,1.0,0.0,1.0,0.0,0.0,13.0,2600.0,12.0,2875.999728,489.750966,0.0
137,PgGlmFf5owM4P5KK,0.0,609.0,0.0,0.0,0.0,609.0,1.0,0.0,1.0,0.0,0.0,12.0,2500.0,12.0,893.429001,136.55776099464924,0.0
138,pW83M2404BtJ4CHu,1916.470203,380.0,0.0,0.0,1.0,380.0,0.5,0.0,0.416667,0.0,0.0,6.0,8500.0,12.0,577.247923,439.337182,0.0
139,9uNVbBPCVDfcTfOu,1608.451822,0.0,205.737165,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,1800.0,12.0,470.565984,408.799147,0.0
140,urBV7ICiwiGw35wr,1425.003265,562.42,1814.910939,0.0,1.0,562.42,0.75,0.0,0.666667,0.416667,7.0,19.0,1800.0,12.0,985.544048,883.852995,0.0
141,ck06zJBOJWCwmvdF,2948.966018,4129.97,451.6221900000001,1804.1,1.0,2325.87,1.0,0.75,1.0,0.25,4.0,56.0,5000.0,12.0,2557.014611,605.697272,0.0
142,BI4EXoC5GgkYQ4lE,6443.077147,2155.13,1650.039631,1325.34,0.909091,829.79,1.0,0.583333,1.0,0.416667,17.0,75.0,7500.0,12.0,9689.602075,3163.402977,0.0
